dom_len,is_ip,tld_len,subdom_cnt,digit_cnt,qm_cnt,amp_cnt,dot_cnt,dash_cnt,under_cnt,letter_ratio,digit_ratio,spec_ratio,is_https,slash_cnt,path_len,query_len,label
10,0,5,1,0,0,0,3,0,0,0.681818182,0.0,0.318181818,0,3,1,0,0
8,0,2,0,0,0,0,1,0,0,0.6875,0.0,0.3125,0,3,1,0,0
7,0,2,1,0,0,0,2,0,0,0.7,0.0,0.3,1,3,1,0,0
8,0,3,0,0,0,0,1,0,0,0.75,0.0,0.25,1,2,0,0,0
12,0,3,1,0,0,0,2,0,0,0.75,0.0,0.25,0,3,1,0,0
7,0,2,1,0,0,0,2,0,0,0.76,0.0,0.24,0,3,7,0,0
13,0,2,1,0,0,0,2,0,0,0.769230769,0.0,0.230769231,1,3,1,0,0
17,0,3,1,3,1,0,3,0,0,0.802816901,0.042253521,0.154929577,1,5,26,15,0
8,0,2,1,0,0,0,2,1,0,0.7,0.0,0.3,1,2,0,0,0
17,0,2,1,0,0,0,2,0,0,0.793103448,0.0,0.206896552,0,3,1,0,0
10,0,3,1,0,0,0,2,6,0,0.764705882,0.0,0.235294118,1,3,1,0,1
10,0,3,1,0,0,0,2,0,0,0.872340426,0.0,0.127659574,1,3,1,0,1
15,0,3,0,0,0,0,1,0,0,0.791666667,0.0,0.208333333,1,3,1,0,0
11,0,6,1,0,0,0,3,0,0,0.75862069,0.0,0.24137931,1,3,6,0,0
13,0,6,0,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,1,0,0
5,0,2,1,0,1,0,3,0,0,0.767857143,0.0,0.232142857,1,6,2,38,1
17,0,3,0,0,0,0,1,0,0,0.807692308,0.0,0.192307692,1,3,1,0,0
7,0,3,1,0,0,0,2,0,0,0.769230769,0.0,0.230769231,0,3,1,0,0
10,0,3,1,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,1,0,0
17,0,3,0,0,0,0,1,0,0,0.807692308,0.0,0.192307692,1,3,1,0,0
8,0,5,1,0,0,0,3,1,0,0.725,0.0,0.275,1,6,20,0,0
11,0,3,1,0,0,0,2,0,0,0.772727273,0.0,0.227272727,0,2,0,0,0
18,0,6,1,3,0,0,3,0,1,0.720930233,0.069767442,0.209302326,1,4,13,0,0
14,0,3,1,0,0,0,2,0,0,0.769230769,0.0,0.230769231,0,3,1,0,0
18,0,3,1,0,0,0,2,0,0,0.827586207,0.0,0.172413793,0,2,0,0,0
10,0,3,1,0,0,0,2,2,0,0.789473684,0.0,0.210526316,1,3,1,0,1
9,0,5,2,0,0,0,4,1,0,0.689655172,0.0,0.310344828,0,3,1,0,0
16,0,5,2,0,0,0,4,1,0,0.760869565,0.0,0.239130435,0,5,15,0,0
11,0,2,1,4,0,0,3,1,0,0.653061224,0.081632653,0.265306122,1,7,18,0,1
16,0,3,1,0,0,0,2,0,0,0.793103448,0.0,0.206896552,1,3,1,0,0
7,0,3,0,0,0,0,1,0,0,0.666666667,0.0,0.333333333,0,3,1,0,0
17,0,3,1,0,0,0,2,1,0,0.826086957,0.0,0.173913043,1,4,17,0,0
10,0,5,1,0,0,0,3,0,0,0.681818182,0.0,0.318181818,0,3,1,0,0
13,0,2,1,0,0,0,2,0,0,0.76,0.0,0.24,0,3,1,0,0
9,0,3,1,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,1,0,0
13,0,3,0,0,0,0,1,0,0,0.761904762,0.0,0.238095238,0,3,1,0,0
20,0,3,1,0,0,0,2,0,0,0.8125,0.0,0.1875,0,3,1,0,0
18,0,13,1,0,0,0,4,0,0,0.772727273,0.0,0.227272727,0,5,15,0,0
11,0,3,1,4,0,0,2,1,0,0.842857143,0.057142857,0.1,1,3,1,0,1
13,0,5,1,0,0,0,3,0,0,0.72,0.0,0.28,0,3,1,0,0
20,0,2,1,0,0,0,2,1,0,0.771428571,0.0,0.228571429,0,4,4,0,0
7,0,2,1,0,0,0,2,0,0,0.684210526,0.0,0.315789474,0,3,1,0,0
11,0,2,1,0,0,0,2,0,0,0.75,0.0,0.25,1,3,1,0,0
10,0,2,0,0,0,0,1,0,0,0.777777778,0.0,0.222222222,1,2,0,0,0
17,0,3,1,0,0,0,2,0,0,0.793103448,0.0,0.206896552,0,3,1,0,0
31,0,3,1,0,0,0,2,0,0,0.860465116,0.0,0.139534884,0,3,1,0,0
14,0,2,1,0,0,0,2,0,0,0.777777778,0.0,0.222222222,1,3,1,0,0
26,0,3,1,0,0,0,2,0,0,0.846153846,0.0,0.153846154,1,3,1,0,0
15,0,3,0,0,0,0,1,0,0,0.782608696,0.0,0.217391304,0,3,1,0,0
10,0,3,1,0,0,0,2,0,0,0.806451613,0.0,0.193548387,1,3,1,0,1
12,0,3,1,1,0,0,3,3,0,0.807017544,0.01754386,0.175438596,0,3,17,0,1
7,0,2,2,0,0,0,3,0,0,0.766666667,0.0,0.233333333,1,3,1,0,1
10,0,3,1,3,0,0,2,0,0,0.777777778,0.066666667,0.155555556,1,4,14,0,1
9,0,3,1,0,0,0,2,0,0,0.727272727,0.0,0.272727273,1,3,1,0,0
11,0,5,1,0,0,0,3,0,0,0.695652174,0.0,0.304347826,0,3,1,0,0
12,0,3,1,0,0,0,2,0,0,0.785714286,0.0,0.214285714,0,3,5,0,0
10,0,3,1,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,1,0,0
10,0,2,1,0,0,0,2,2,0,0.804347826,0.0,0.195652174,0,4,21,0,0
7,0,2,1,0,0,0,2,0,0,0.684210526,0.0,0.315789474,0,3,1,0,0
15,0,3,1,0,0,0,2,0,0,0.777777778,0.0,0.222222222,0,3,1,0,0
18,0,2,1,0,0,0,2,1,0,0.774193548,0.0,0.225806452,1,3,1,0,0
8,0,2,1,0,0,0,2,0,0,0.7,0.0,0.3,0,3,1,0,0
21,0,3,1,0,0,0,2,0,0,0.818181818,0.0,0.181818182,0,3,1,0,0
24,0,6,1,0,0,0,3,1,0,0.777777778,0.0,0.222222222,0,3,1,0,0
6,0,2,1,3,0,0,3,0,0,0.717948718,0.076923077,0.205128205,1,3,1,0,0
14,0,3,1,0,0,0,2,0,0,0.769230769,0.0,0.230769231,0,3,1,0,0
6,0,2,1,3,0,0,3,1,0,0.714285714,0.06122449,0.224489796,1,6,31,0,0
6,0,3,1,24,0,0,3,1,0,0.483870968,0.387096774,0.129032258,1,3,11,0,1
9,0,5,1,0,0,0,3,0,0,0.681818182,0.0,0.318181818,1,3,1,0,0
9,0,5,1,0,0,0,3,0,0,0.666666667,0.0,0.333333333,0,3,1,0,0
20,0,3,0,0,0,0,2,2,0,0.771428571,0.0,0.228571429,1,3,7,0,1
17,0,3,0,0,0,0,1,0,0,0.8,0.0,0.2,0,3,1,0,0
